Affected Census Tract Number:,Affected Census Tract Name:,EHD Score,Environmental Exposures,Diesel Exhaust PM2.5 Emissions,Ozone Concentration,PM2.5 Concentration,Proximity to Heavy Traffic Roadways,Toxic Releases From Facilities (RSEI model),Environmental Effects,Lead Risk From Housing,Proximity to Hazardous Waste Treatment Storage and Disposal Facilities (TSDFS),Proximity to National Priorities List Facilities (Superfund sites),Proximity to Risk Management Plan (RMP) Facilities,Wastewater Discharge,Socioconomic Factors,ACS: Limited English Proficiency (LEP),No High School Diploma,People of Color (Race/Ethnicity),Population Living in Poverty <=185% of Federal Poverty Level (%),Transportation Expense,Unaffordable Housing (>30% of Income),Unemployed (%),Sensitive Populations,Death from Cardiovascular Disease,Low Birth Weight - Combined (%)
57952200,Mt Vernon,9,3,5,3,1,7,5,8,5,4,3,10,9,10,10,10,9,10,6,9,8,10,9,8
63010800,Spokane,9,5,4,9,8,4,2,8,7,7,10,8,,8,3,7,3,10,4,10,9,9,7,10
63011201,Spokane,10,6,6,9,9,4,3,8,4,7,10,10,,9,8,7,4,10,5,9,10,10,10,9
63011101,Spokane,9,5,6,9,6,4,3,7,4,6,10,9,,9,6,8,4,10,3,10,10,10,10,10
63000400,Spokane,9,5,6,9,6,5,2,9,9,7,9,9,4,9,7,7,6,10,4,8,10,9,9,7
63000300,Spokane,9,5,6,9,6,4,3,10,10,7,10,10,8,9,7,9,5,10,6,10,7,6,10,2
63000200,Spokane,10,6,6,9,8,3,3,10,10,7,10,10,8,9,3,8,5,10,5,10,10,10,9,10
63014400,Spokane,10,8,6,10,9,5,4,10,9,8,10,10,10,7,7,7,5,9,7,7,3,10,9,10
63011400,Spokane,10,10,7,9,10,7,6,9,7,8,7,8,9,7,3,7,2,8,8,8,6,10,9,10
63013201,Spokane,9,9,6,9,10,6,5,8,4,6,8,5,10,2,3,4,1,6,9,2,3,10,9,10
63013100,Spokane,9,10,6,10,9,7,8,9,4,7,9,7,10,6,2,4,1,7,8,8,9,6,6,6
63013000,Spokane,9,10,6,1,9,7,9,8,2,6,8,6,9,6,4,3,2,7,7,8,9,5,3,8
63012901,Spokane,10,10,7,9,10,7,9,9,7,8,7,8,9,6,3,8,2,7,7,9,3,8,6,8
63011702,Spokane,10,10,7,9,10,8,7,8,2,8,6,7,10,9,7,8,4,10,5,10,8,10,8,10
63011800,Spokane,9,10,7,9,10,7,7,8,5,7,6,7,9,7,2,7,22,10,4,10,10,6,7,5
63012701,Spokane,9,10,7,10,10,5,7,8,8,5,6,5,7,4,4,2,2,8,6,8,4,7,4,9
63011900,Spokane,10,10,7,10,10,8,5,9,7,7,7,6,9,7,6,6,4,9,6,9,2,8,7,7
63011701,Spokane,9,9,7,9,10,8,4,10,7,8,9,8,9,5,2,5,3,8,6,8,3,8,7,7
63012000,Spokane,9,10,7,10,10,8,4,10,9,7,8,7,9,5,1,5,2,7,6,6,9,8,5,9
63012500,Spokane,9,8,5,10,9,6,5,6,7,6,7,5,,7,6,9,3,9,4,5,6,10,10,9
63012100,Spokane,9,9,7,9,9,8,4,10,9,8,9,8,8,4,2,3,3,9,6,6,4,9,6,10
63011500,Spokane,10,9,7,9,9,8,3,10,10,7,9,8,10,7,4,6,1,8,7,8,9,9,9,8
63012200,Spokane,10,9,7,10,9,8,4,10,10,9,10,10,10,6,4,8,2,7,7,4,9,9,7,10
63012300,Spokane,10,10,7,10,9,8,5,10,8,8,9,8,7,7,7,6,4,8,6,6,6,10,9,10
63001600,Spokane,10,7,8,9,9,4,3,10,9,9,10,10,9,10,8,9,6,10,6,9,9,6,6,6
63001500,Spokane,10,7,8,9,9,4,3,10,10,8,9,10,9,7,1,8,5,9,6,7,7,10,8,10
63000300,Spokane,9,5,6,9,6,4,3,10,10,7,10,10,8,9,7,9,5,10,6,10,7,6,10,2
63000400,Spokane,9,5,6,9,6,5,2,9,9,7,9,9,4,9,7,7,6,10,4,8,10,9,9,7
63001400,Spokane,10,8,8,9,9,5,3,10,10,8,9,9,9,9,6,9,5,10,5,9,10,6,7,5
63001800,Spokane,10,8,8,9,9,6,3,10,9,9,9,10,10,7,6,8,4,10,5,7,2,10,10,9
63002500,Spokane,10,10,9,9,9,8,4,10,10,9,9,8,10,8,2,8,5,10,4,10,10,7,7,6
63002000,Spokane,10,8,8,9,9,6,3,10,10,8,7,6,9,7,1,5,5,10,4,10,10,9,8,9
63002100,Spokane,9,4,3,10,6,5,2,10,10,8,7,6,10,6,2,7,4,8,4,7,7,10,8,10
63003600,Spokane,9,9,9,9,9,8,3,9,9,8,7,5,10,5,1,3,4,10,2,10,5,6,2,10
63002300,Spokane,9,7,5,10,8,7,3,10,10,8,7,6,10,5,1,6,5,9,4,7,3,10,8,10
63002400,Spokane,10,9,9,9,9,8,3,10,9,9,7,6,10,7,1,8,7,10,1,8,8,8,10,5
63002600,Spokane,10,9,8,9,9,7,3,10,10,9,9,9,10,10,9,10,6,10,5,10,7,9,8,9
63014500,Spokane,10,10,9,9,9,8,6,10,10,9,9,9,10,9,3,10,6,10,5,10,10,10,10,10
63003500,Spokane,10,9,9,9,9,8,3,10,10,10,7,5,10,7,3,6,5,10,1,9,9,10,9,10
63003800,Spokane,9,7,5,10,8,7,2,8,8,7,6,6,7,5,4,4,4,8,6,8,4,8,10,5
63004000,Spokane,10,9,9,9,9,8,3,9,10,9,7,4,8,7,4,8,4,10,3,7,6,8,8,7
63003200,Spokane,10,9,9,9,9,8,3,10,10,10,7,5,9,4,2,7,3,9,2,7,3,10,10,10
63003100,Spokane,10,10,9,9,9,8,5,10,10,9,8,6,9,6,7,2,6,9,6,8,2,9,8,8
63003000,Spokane,10,10,9,9,9,8,7,10,10,9,9,8,9,10,8,10,7,10,6,10,9,10,10,9
63002900,Spokane,9,10,7,10,9,8,5,10,9,8,9,8,8,5,6,4,4,5,7,2,9,6,7,5
63004601,Spokane,9,10,9,9,9,8,6,9,8,8,9,6,8,5,4,6,3,7,6,8,3,5,6,5
07961100,Wenatchee,9,5,5,8,9,5,1,6,9,4,1,10,1,10,10,10,10,9,7,5,7,8,6,9
25010800,Moses Lake,9,2,2,9,3,2,2,9,9,6,9,6,5,10,8,10,9,10,8,9,10,10,10,10
21020700,Pasco,9,4,3,10,7,3,3,7,7,2,5,5,8,9,10,9,7,7,9,1,10,10,10,10
21020100,Pasco,9,9,6,10,9,5,6,9,5,5,9,10,7,10,10,10,10,10,7,5,10,2,4,3
21020300,Pasco,10,8,6,10,9,5,4,8,8,3,8,10,3,10,10,10,10,10,7,6,8,7,7,6
21020200,Pasco,10,8,6,10,9,5,4,9,9,4,8,10,4,10,10,10,10,10,6,7,10,8,9,5
21020400,Pasco,10,8,6,10,9,6,4,8,7,5,8,10,4,10,10,10,10,10,5,10,9,8,9,5
71920000,Burbank,9,6,2,10,8,3,6,9,6,6,6,9,9,10,10,10,7,9,10,2,9,5,4,7
05011501,Kennewick,9,7,6,10,9,3,4,9,5,5,6,10,9,9,8,10,6,8,8,6,7,5,9,2
05011300,Kennewick,9,8,6,10,9,6,3,9,10,5,7,10,4,10,10,10,9,9,7,8,6,3,6,3
05011401,Kennewick,9,4,4,10,6,3,3,8,7,5,6,10,3,10,9,10,9,10,6,8,7,9,10,7
05011200,Kennewick,10,8,6,10,9,6,4,8,8,6,6,10,4,10,10,10,10,10,5,9,10,9,8,8
05011100,Kennewick,9,8,6,10,9,6,4,8,7,7,6,9,3,8,8,6,7,8,7,4,9,8,9,6
05011002,Kennewick,9,6,5,10,6,5,3,8,7,7,5,8,3,10,9,9,8,10,5,6,10,8,5,10
05010902,Kennewick,8,5,5,10,6,4,3,6,5,6,5,7,3,10,9,9,9,9,5,7,10,6,10,2
05010901,Kennewick,9,6,5,10,6,5,3,7,7,6,5,6,4,9,4,9,8,8,5,8,10,10,10,8
05011001,Kennewick,9,8,6,10,9,6,3,8,6,8,6,8,4,9,9,9,8,10,6,8,4,8,6,8
05010500,Richland,9,5,5,10,6,4,2,9,10,6,6,10,3,6,7,4,5,10,4,6,3,10,8,10
05010600,Richland,9,6,5,10,6,7,2,9,9,7,5,9,6,6,4,3,5,8,5,7,7,10,8,10
77002102,Outlook,9,5,3,10,10,3,1,4,8,1,2,3,6,10,10,10,10,10,10,2,9,9,9,7
77940002,Granger,9,4,2,9,10,3,1,8,8,1,3,8,10,10,10,10,10,10,10,1,10,9,10,7
77940005,Toppenish,9,3,2,9,10,1,1,8,9,1,3,10,10,10,10,10,10,10,9,6,10,9,9,8
77940006,Toppenish,9,4,2,9,10,2,1,8,9,1,3,10,10,10,10,10,10,10,10,6,10,8,6,9
77940004,Wapato,10,4,2,9,10,2,1,8,8,2,5,10,9,10,10,10,10,10,9,7,10,10,10,8
77940001,Harrah,9,4,3,9,10,3,1,7,8,1,5,7,7,10,10,10,10,9,10,1,9,9,10,7
77001400,Union Gap,9,6,4,8,10,5,2,8,9,4,10,10,,10,10,10,10,10,10,6,8,8,10,4
77001300,Union Gap,10,6,4,8,10,4,3,8,8,6,10,10,,10,8,10,10,10,10,6,7,9,9,8
77001201,Yakima,10,5,4,8,10,2,3,9,9,7,9,10,,10,10,10,10,10,9,8,10,9,10,7
77001202,Yakima,10,6,4,8,10,3,4,9,9,8,10,10,,10,10,10,10,10,9,8,10,8,8,7
77000100,Yakima,10,6,4,8,10,5,2,9,10,10,9,10,,10,10,10,10,10,7,9,10,10,10,8
77001502,Yakima,9,6,4,8,10,5,2,9,8,8,10,10,,10,10,10,10,10,9,7,3,8,8,6
77001501,Yakima,10,6,4,8,10,5,3,9,9,9,9,10,,10,10,10,10,10,8,10,8,9,9,7
77000200,Yakima,10,6,4,8,10,5,2,9,9,9,8,10,,10,10,10,10,10,8,9,10,9,9,7
77000700,Yakima,10,5,4,8,10,3,3,9,10,9,9,10,,10,10,10,10,10,8,9,8,9,9,8
77000600,Yakima,10,5,4,8,10,4,2,9,9,9,8,10,,10,10,10,10,10,8,10,9,10,10,8
77000500,Yakima,9,5,4,8,10,3,2,8,8,8,8,10,,8,6,9,8,8,9,8,1,9,10,6
77000300,Yakima,9,6,4,8,10,5,2,8,8,8,7,10,,10,10,10,9,10,8,4,8,8,10,4
15000502,Longview,9,4,5,3,4,3,9,9,10,8,1,10,7,10,7,10,8,10,7,10,9,9,10,7
15002100,Longview,9,4,5,3,4,5,8,9,9,7,1,10,10,9,5,10,5,10,4,10,9,10,10,8
15001100,Longview,9,4,5,3,4,6,8,10,10,9,1,10,10,9,5,9,5,10,7,9,8,6,9,3
11041005,Vancouver,9,6,5,6,6,8,6,10,8,9,7,10,9,9,9,9,8,10,5,9,2,4,4,6
11041007,Vancouver,10,7,7,6,7,8,5,8,7,7,9,7,4,6,7,8,5,7,5,5,3,10,10,9
11042300,Vancouver,9,8,8,5,7,9,6,10,9,10,7,10,4,5,5,8,5,9,3,5,3,6,6,6
11042400,Vancouver,10,7,8,5,7,8,5,9,6,10,7,10,5,8,6,8,4,10,1,10,10,9,7,9
11042500,Vancouver,9,8,8,5,7,9,5,9,9,9,8,9,4,5,1,2,4,9,3,9,9,8,7,8
11042600,Vancouver,10,10,8,5,10,9,8,9,7,9,7,8,4,6,5,3,5,7,3,9,8,9,7,9
11041800,Vancouver,10,8,8,5,7,9,6,9,9,9,9,8,2,8,8,10,7,9,4,10,1,8,7,8
11042600,Vancouver,10,10,8,5,10,9,8,9,7,9,7,8,4,6,5,3,5,7,3,9,8,9,7,9
11042700,Vancouver,10,9,8,5,10,7,6,9,7,9,8,9,3,10,9,10,8,10,3,10,6,8,7,7
11041700,Vancouver,10,8,8,5,7,9,6,9,8,9,9,8,2,10,9,9,8,10,4,9,6,7,10,3
11041110,Vancouver,9,9,8,5,10,7,8,8,5,8,9,8,,6,4,6,5,8,6,4,8,7,6,7
11041600,Vancouver,9,9,8,5,10,7,7,9,5,9,9,10,2,10,10,10,8,10,3,10,8,4,5,5
11041111,Vancouver,10,8,7,6,10,6,5,8,4,9,9,9,,10,10,10,9,10,1,7,10,8,7,8
11042900,Vancouver,9,8,7,6,10,6,5,8,5,8,7,7,4,4,8,4,5,8,5,2,1,9,8,9
11043000,Vancouver,9,8,7,6,10,6,5,8,8,8,7,7,4,7,7,9,6,9,4,9,1,8,4,10
11041203,Vancouver,9,10,7,7,10,8,7,7,4,8,8,8,,7,7,4,7,9,5,10,2,7,8,5
11041313,Vancouver,9,9,7,7,8,8,6,6,1,8,8,9,,8,6,9,7,9,3,9,4,7,7,6
11041317,Vancouver,9,9,7,7,8,9,7,6,2,7,7,7,2,6,7,8,5,6,4,9,2,9,10,6
11041322,Vancouver,9,10,8,7,8,9,7,5,2,7,6,5,4,9,8,8,7,8,3,10,6,6,9,3
11041309,Vancouver,9,10,8,7,8,9,7,6,3,7,6,5,4,8,8,7,6,5,5,7,9,8,8,7
11041318,Vancouver,9,10,8,7,8,9,8,5,2,7,6,7,,8,7,4,6,9,5,10,7,8,7,8
11041330,Vancouver,9,9,7,7,8,7,7,6,3,7,7,8,,7,7,7,6,7,6,3,9,10,9,9
11041333,Vancouver,9,7,7,7,8,5,6,4,2,6,6,6,,6,8,6,5,4,6,2,10,10,10,10
11041320,Vancouver,9,9,8,7,8,6,7,5,2,9,6,5,,9,9,8,7,7,4,8,8,6,10,2
11041323,Vancouver,9,10,8,9,8,7,7,5,1,9,6,5,3,9,8,9,6,8,4,10,7,7,4,9
41970400,Centralia,9,2,5,4,3,6,2,9,8,4,9,6,10,10,6,10,6,9,9,6,10,10,9,9
41970600,Centralia,9,2,5,4,3,6,1,10,10,5,9,6,10,10,9,9,6,10,8,9,9,10,10,10
41970700,Centralia,9,2,5,4,3,6,2,10,10,6,10,6,8,10,6,9,6,10,9,10,9,10,9,9
53072000,Lakewood,9,6,6,7,4,9,3,7,7,7,10,3,,9,6,9,9,10,10,9,10,9,9,8
53071902,,9,7,6,8,4,9,5,8,9,7,10,5,2,3,5,2,6,3,3,6,5,9,7,10
53072106,,9,6,7,7,5,5,5,7,5,6,8,7,3,9,7,7,9,9,1,8,9,9,9,7
53071803,,9,9,9,7,7,9,6,6,3,7,9,6,,7,7,8,10,7,1,10,2,8,8,7
53071901,,10,9,9,7,6,9,5,,8,8,8,10,5,,9,6,7,9,9,2,10,10,10,10
53071806,,10,8,9,7,6,9,4,6,5,7,10,3,,10,9,10,10,10,1,10,10,9,10,7
53072901,,9,8,9,7,6,9,4,5,2,7,10,3,,6,4,1,8,9,1,10,8,9,9,8
53071805,,10,8,9,7,6,9,4,8,9,8,10,4,,9,10,10,10,10,1,10,3,10,9,10
53071807,,10,9,9,7,6,9,5,7,7,8,9,5,,9,7,10,10,9,1,10,6,10,9,10
53071808,,10,9,9,7,6,9,5,6,5,7,8,5,,10,9,10,10,10,1,8,10,10,8,10
53071503,Parkland,9,9,9,7,7,8,5,5,5,6,8,3,,9,7,6,9,8,2,9,8,8,6,
53071504,,10,9,9,7,7,8,5,7,9,8,8,3,,9,6,9,7,9,2,10,10,8,10,5
53071704,Parkland,9,9,9,7,6,9,5,6,4,8,9,4,,10,10,10,10,10,1,10,9,4,4,6
53071703,,9,9,9,7,6,9,5,5,3,8,8,4,,9,10,10,10,10,1,10,3,9,10,6
53071707,,10,9,9,7,7,8,5,7,9,7,8,3,,7,2,9,9,7,2,8,7,10,10,8
53071706,,10,8,9,7,6,9,4,6,6,7,9,4,,8,5,6,9,10,1,10,8,10,8,10
53071705,,9,9,9,7,7,9,6,6,7,7,8,4,,10,9,9,9,10,2,10,10,5,7,4
53071602,,9,8,7,7,7,7,7,5,4,8,7,3,,9,8,9,9,9,2,8,9,9,10,7
53071601,,10,9,7,7,10,7,6,5,6,6,7,4,,10,10,10,10,9,2,8,8,9,9,7
53071305,,9,8,7,7,8,7,6,5,7,7,6,4,,8,7,9,6,7,4,6,9,8,5,10
53062802,Tacoma,10,9,9,7,7,8,6,8,8,7,9,7,,8,8,10,9,6,2,7,7,8,9,6
53062801,,10,8,8,6,7,8,6,8,6,8,10,9,,9,6,7,9,10,1,10,10,10,10,10
53021200,,9,8,8,6,5,8,7,9,10,9,10,8,,7,5,8,8,7,1,8,8,8,6,8
53061700,,10,10,10,6,8,10,9,10,9,10,10,10,5,8,4,9,10,8,1,8,9,10,9,9
53062600,,10,10,10,6,8,10,8,8,7,8,10,7,1,9,8,9,10,8,1,10,8,10,10,9
53062900,,10,10,9,7,7,10,6,8,9,8,9,7,,7,8,9,9,8,1,7,1,9,8,9
53063000,,9,9,9,7,7,10,5,8,10,7,9,6,,9,9,10,9,8,2,9,6,3,4,5
