Affected Census Tract Number:,Affected Census Tract Name:,EHD Score,Environmental Exposures,Diesel Exhaust PM2.5 Emissions,Ozone Concentration,PM2.5 Concentration,Proximity to Heavy Traffic Roadways,Toxic Releases From Facilities (RSEI model),Environmental Effects,Lead Risk From Housing,Proximity to Hazardous Waste Treatment Storage and Disposal Facilities (TSDFS),Proximity to National Priorities List Facilities (Superfund sites),Proximity to Risk Management Plan (RMP) Facilities,Wastewater Discharge,Socioconomic Factors,ACS: Limited English Proficiency (LEP),No High School Diploma,People of Color (Race/Ethnicity),Population Living in Poverty <=185% of Federal Poverty Level (%),Transportation Expense,Unaffordable Housing (>30% of Income),Unemployed (%),Sensitive Populations,Death from Cardiovascular Disease,Low Birth Weight - Combined (%)
53061300,,10,10,10,6,8,8,7,10,10,9,10,10,5,9,6,7,9,9,1,10,10,9,9,7
53061400,,10,10,10,5,8,9,7,10,10,10,10,10,6,10,6,9,10,10,1,10,10,10,10,10
53061800,,10,10,10,7,10,10,7,9,10,10,10,9,,7,5,7,9,4,1,9,8,6,4,8
53062500,,10,10,10,7,10,10,7,9,10,8,10,8,,8,5,7,9,8,2,9,7,6,8,4
53063100,,10,10,8,7,10,10,6,8,9,7,9,5,,10,9,10,9,8,3,8,8,8,7,7
53063501,,10,10,9,7,10,10,5,7,7,7,8,5,,10,10,10,10,9,2,9,5,10,9,10
53063502,,9,9,9,7,7,9,6,6,6,7,8,4,,8,9,9,10,6,3,10,1,8,10,4
53063400,,9,10,7,7,10,8,7,6,8,6,7,4,,9,9,10,9,10,2,10,2,7,9,4
53063200,,10,9,6,7,10,8,6,8,10,8,8,5,,9,8,7,9,8,2,9,7,10,9,9
53061900,,10,10,10,7,10,10,5,10,10,9,10,10,6,9,7,6,9,9,1,10,9,10,10,10
53061602,,10,9,10,5,8,10,5,10,8,10,10,10,6,9,8,7,8,10,1,8,10,10,10,9
53061601,,10,9,10,5,8,9,6,10,10,10,10,10,7,9,8,7,8,10,1,10,10,4,9,1
53060200,,10,10,10,5,8,10,7,10,3,10,10,10,7,10,10,10,9,10,1,8,10,5,10,1
53062000,,10,10,10,7,10,10,6,10,10,9,10,10,6,10,9,10,9,10,1,10,7,8,8,7
53062300,,10,10,6,7,10,9,7,10,10,8,9,9,5,8,10,9,10,7,3,7,3,10,8,10
53063300,,10,9,6,7,10,6,8,7,7,7,8,6,,10,10,10,10,9,3,10,5,10,10,10
53061500,,10,9,10,6,8,7,7,10,10,10,10,10,7,5,5,4,6,8,1,8,6,9,9,7
53940002,,9,10,10,5,9,10,7,9,5,9,8,10,6,7,8,8,8,5,3,6,6,6,4,8
53940003,,9,10,10,7,8,10,8,8,2,9,7,9,7,7,8,6,10,6,2,8,5,3,4,4
53940007,,10,10,10,7,10,10,6,10,9,9,9,10,7,10,9,9,10,9,3,8,9,8,5,10
53940006,,10,10,10,7,10,9,5,8,1,8,8,10,6,10,10,10,10,10,1,9,9,10,10,10
53073405,Puyallup,10,8,7,8,6,7,6,8,6,8,6,6,7,8,6,8,6,8,1,8,10,10,10,9
53073406,,9,8,7,8,5,8,6,8,4,8,6,8,7,4,6,6,5,5,2,8,2,9,10,6
53073301,Sumner,9,8,7,8,5,8,7,9,5,9,5,9,7,8,5,8,6,7,3,10,9,6,8,4
33030312,Federal Way,10,6,8,5,6,5,7,7,2,9,8,10,,8,9,9,8,2,10,10,10,10,10,10
33030308,,10,8,9,4,8,6,8,6,1,9,7,8,,8,9,6,10,5,2,9,8,10,10,8
33030201,,9,8,9,4,8,6,8,5,5,7,7,4,,8,9,8,9,6,3,9,4,9,9,7
33030100,,9,9,9,4,8,8,9,5,6,6,7,4,,7,6,5,8,5,4,8,7,8,6,8
33030202,,10,9,9,4,7,9,9,5,4,8,7,5,,8,10,6,9,8,3,6,4,10,10,9
33030314,,9,9,9,4,7,9,7,5,3,9,6,6,,10,10,8,9,9,1,10,8,8,9,5
33030313,,10,9,9,4,8,10,6,5,1,9,6,7,,10,10,9,9,9,1,10,9,8,8,7
33030006,,10,9,9,4,7,10,7,6,4,9,7,5,7,10,10,10,10,9,1,10,6,10,10,10
33030005,,10,9,9,4,7,10,8,5,4,8,4,,,9,10,10,10,9,3,7,5,9,10,6
33030003,,10,10,9,4,7,10,9,6,3,5,10,5,2,9,10,8,9,4,3,8,8,8,9,6
33030401,,10,10,9,4,8,10,9,9,3,9,6,9,10,8,8,9,8,4,4,6,9,8,6,9
33030901,Algona,10,7,7,5,6,8,7,10,6,10,5,10,10,8,8,9,9,5,4,5,9,9,10,6
33030902,Pacific,9,9,7,7,7,8,8,8,5,10,5,10,4,8,7,9,8,8,3,10,1,8,7,7
33030801,Auburn,10,9,7,7,7,8,9,9,4,10,5,10,6,10,10,10,9,9,1,10,9,9,10,6
33030802,,9,6,6,7,5,6,6,8,6,10,5,9,4,9,10,9,8,8,3,7,5,9,10,7
33030700,,10,7,6,7,6,7,6,10,8,10,5,9,9,9,9,9,8,6,2,8,9,9,10,7
33031100,,9,8,6,7,6,7,8,7,4,8,5,8,4,8,8,7,8,6,3,8,7,8,8,7
33030600,,9,8,6,7,6,7,8,10,9,10,6,8,8,7,9,10,7,6,2,2,9,2,7,3
33030501,,9,8,7,7,6,8,6,9,6,10,6,8,9,9,8,9,8,9,1,10,6,5,9,2
33029902,,9,8,7,5,6,9,8,9,3,10,7,7,9,5,9,7,7,3,5,4,1,9,10,7
33029901,,9,9,9,4,7,10,8,9,4,9,8,6,8,6,8,6,8,4,4,2,7,7,8,5
33030503,,10,7,6,7,5,8,7,8,2,10,7,5,9,8,9,7,8,7,1,10,7,10,10,8
33029802,,9,10,9,4,7,10,10,9,5,9,9,5,8,7,9,7,9,6,4,4,5,5,9,2
33030004,,10,9,7,4,6,10,9,4,2,6,9,4,,10,10,9,10,9,1,10,9,9,10,7
33029601,Kent,9,6,6,7,5,4,9,4,2,7,6,5,,10,10,10,10,9,4,9,6,10,10,8
33039700,,10,9,8,6,6,8,10,10,7,9,9,8,8,10,10,8,8,9,2,10,10,7,6,7
33029801,,10,9,8,4,6,10,10,9,4,9,10,7,8,8,9,8,9,7,2,7,7,7,8,5
33029003,,10,9,8,4,7,10,9,8,5,7,10,6,4,10,10,10,10,9,2,10,7,7,9,4
33029004,,10,9,8,4,7,10,7,8,7,7,10,6,4,10,10,10,10,10,1,10,8,8,10,4
33029102,,10,9,8,4,7,10,8,9,7,9,10,8,5,5,9,9,9,4,3,2,1,10,9,9
33029503,,10,8,8,6,5,6,9,7,3,9,7,7,3,10,10,10,10,10,1,10,5,10,10,10
33029504,,10,7,8,6,5,5,9,5,2,8,7,6,,10,10,10,10,9,1,10,10,10,10,10
33029203,,10,8,8,6,5,8,8,10,7,10,10,10,10,8,9,9,10,8,1,9,1,9,7,9
33029206,,10,10,9,6,5,10,9,10,2,10,10,10,10,10,10,10,10,10,1,10,9,8,9,5
33029205,,9,9,8,5,5,9,9,10,1,10,10,10,10,8,10,8,10,6,1,8,4,5,8,3
33029101,,10,9,9,5,5,10,9,9,2,10,10,9,7,10,9,9,10,6,3,10,10,8,6,9
33029204,,10,9,8,6,5,8,10,10,3,10,9,10,10,9,10,8,10,8,2,8,6,9,7,9
33029407,,10,8,8,6,4,8,8,8,6,10,8,9,,10,10,10,10,9,2,10,9,8,10,5
33029408,,10,7,8,6,4,6,8,7,3,9,8,7,,9,10,9,10,9,2,10,4,10,10,9
33029403,,10,9,8,6,5,8,9,9,2,10,9,9,7,9,10,9,10,6,3,8,7,10,9,9
33029405,,9,7,8,6,5,5,9,6,2,8,8,8,,7,10,8,9,3,4,5,6,9,9,7
33029306,,9,8,8,7,5,6,8,9,2,9,9,8,8,5,10,8,9,2,4,3,2,8,5,10
33029303,,9,9,8,5,5,8,10,9,2,10,9,9,9,7,8,5,10,5,3,8,3,8,5,9
33029304,,10,8,8,7,5,6,9,7,3,7,8,8,2,7,9,6,9,3,4,7,5,10,10,10
33028902,Des Moines,10,9,8,4,6,10,9,9,4,9,10,7,5,10,10,10,10,10,1,9,8,7,9,4
33028901,,9,9,8,4,6,10,8,8,6,7,10,6,3,6,8,4,8,3,2,6,8,8,6,8
33028801,,9,9,8,4,6,10,9,9,8,9,10,7,4,7,9,10,9,3,3,9,2,8,10,4
33028802,SeaTac,10,9,9,4,6,10,9,9,4,10,10,8,5,10,10,10,10,10,1,10,4,8,8,6
33028300,,10,10,10,4,5,10,10,10,7,10,10,9,6,10,9,7,10,6,4,9,10,5,5,6
33028403,,9,9,9,4,5,10,9,10,7,10,9,9,5,7,10,7,10,6,1,6,5,4,6,4
33028402,,10,10,10,4,6,10,10,9,7,9,8,9,4,10,10,9,10,9,1,10,6,9,7,10
33028500,,9,7,7,4,6,7,9,7,6,9,7,6,,7,9,8,9,4,2,8,5,9,9,8
33025804,Renton,10,9,9,6,5,8,9,9,7,8,9,7,4,7,9,7,9,6,4,4,3,10,9,9
33025803,,9,8,9,6,5,6,8,9,6,9,9,8,3,8,9,8,10,8,2,9,2,8,10,4
33025805,,10,9,9,5,5,9,9,10,3,10,9,9,10,8,10,8,10,6,2,9,1,8,5,10
33025806,,10,9,9,5,5,9,9,10,5,10,10,10,10,6,10,6,10,4,3,4,3,9,7,10
33025701,,9,9,9,6,5,9,9,9,4,9,10,8,4,7,9,5,9,5,1,9,5,5,2,9
33025301,,9,9,9,4,5,9,10,8,6,8,10,6,4,7,9,7,8,4,1,9,5,7,3,10
33025400,,10,10,9,6,5,9,10,8,6,9,10,6,3,9,10,9,10,6,1,10,8,6,4,8
33025302,,10,9,9,4,5,9,10,10,6,10,10,8,10,8,8,6,9,9,1,10,5,6,3,9
33026002,,10,9,10,4,5,9,10,10,7,10,10,8,10,9,10,9,10,9,1,10,4,7,8,5
33026001,,9,9,9,4,6,9,10,10,9,9,10,7,10,7,10,7,10,2,4,5,5,4,7,3
33026100,,10,10,10,4,6,10,10,10,8,9,10,8,10,9,10,9,10,9,2,10,1,10,9,10
33026200,Tukwila,10,10,10,4,6,10,10,10,6,10,9,9,10,9,9,9,10,5,1,10,9,6,4,8
33028200,,10,10,10,4,5,10,10,10,7,9,8,9,8,9,10,9,10,9,1,8,5,8,6,9
33027200,,10,10,10,4,6,10,10,10,9,10,9,8,10,10,10,10,10,8,2,10,10,6,10,2
33027100,,10,10,10,3,8,9,10,10,8,10,10,8,10,9,10,10,10,8,1,10,1,9,6,10
33027300,,10,10,10,3,8,10,10,10,8,9,9,8,9,10,10,10,10,8,1,9,9,10,9,9
33028100,,9,10,10,4,6,10,9,10,7,9,8,8,8,10,10,9,10,8,1,9,9,2,5,2
33028000,,10,7,7,4,6,7,9,8,6,8,8,9,,10,10,10,10,9,1,9,7,10,10,9
33027400,,10,8,7,3,8,7,10,10,9,9,9,9,8,9,10,9,10,6,3,8,7,10,8,10
33027500,,9,8,7,3,8,6,10,8,9,8,8,7,,9,10,10,9,7,3,9,3,5,7,4
33025500,,9,6,4,6,3,8,10,8,6,9,10,4,3,8,10,9,10,5,2,8,3,8,7,8
33025200,,9,9,7,6,4,9,10,8,6,8,10,4,3,8,9,7,9,5,3,8,5,7,6,7
33011900`,Seattle,9,9,8,4,6,10,10,10,9,9,10,8,9,9,9,8,10,7,3,7,6,2,3,4
33026300,,10,10,10,2,10,10,10,10,9,10,10,9,10,9,10,9,10,4,3,7,10,6,3,9
33026400,,10,10,10,3,10,10,10,10,8,10,10,9,10,10,10,10,10,8,1,10,8,9,8,8
33027000,,10,8,7,3,8,7,10,10,9,10,9,8,9,9,9,10,10,6,3,9,7,7,7,6
33026802,,10,8,7,3,8,6,10,10,8,9,9,8,7,10,10,10,10,9,2,9,7,8,8,6
33026700,,9,7,7,3,8,5,10,8,9,9,8,6,,9,10,10,9,6,3,5,8,8,6,9
33026801,,10,8,7,3,8,6,10,10,9,10,9,9,7,10,10,10,10,8,1,9,7,8,7,7
33026500,,9,8,7,3,8,6,10,10,7,10,9,9,8,10,10,10,10,10,1,9,10,3,1,8
33026400,,10,10,10,3,10,10,10,10,8,10,10,9,10,10,10,10,10,8,1,10,8,9,8,8
33011200,West Seattle,10,10,10,3,10,9,10,10,9,10,9,10,10,10,10,9,10,10,1,10,10,8,5,9
33011300,,10,10,10,5,10,7,10,10,8,10,8,9,9,8,8,8,9,7,1,10,5,8,8,7
33011402,,10,8,8,5,7,5,10,10,8,10,8,8,7,9,10,10,10,7,1,9,4,10,10,9
33011401,,9,9,8,5,7,6,10,10,7,10,8,9,8,7,7,7,10,6,1,9,4,6,8,4
33010701,,9,9,8,5,7,7,10,10,5,10,10,10,9,9,9,8,10,8,1,8,10,3,3,6
33010800,,10,10,10,5,10,9,10,10,7,10,10,10,9,7,8,4,10,5,3,7,5,10,8,10
33010702,,10,9,8,5,7,6,10,10,4,10,10,9,8,10,10,10,10,10,1,10,8,8,10,4
33009900,,9,10,10,5,10,9,10,10,8,10,10,10,9,5,6,3,8,4,1,6,7,3,1,8
33011700,Seattle,10,10,10,2,10,10,10,10,9,10,10,9,9,9,10,10,10,7,3,7,7,7,3,10
33011800,,10,9,8,2,6,10,10,10,9,10,10,8,8,9,10,9,10,7,1,9,7,5,5,6
33010900,,10,10,10,2,10,10,10,10,10,10,10,10,9,6,6,6,8,6,1,8,5,6,4,8
33011002,,10,10,10,2,10,10,10,10,8,10,9,10,9,10,10,10,10,10,1,10,7,5,4,7
33011001,,10,8,6,2,6,10,10,10,5,10,9,10,9,10,10,10,10,10,1,10,9,10,9,9
33011101,,10,8,6,2,6,10,10,10,9,10,9,9,8,10,10,10,10,8,1,10,10,7,3,10
33011102,,9,7,6,2,6,9,10,10,9,10,9,9,5,6,9,4,10,4,2,8,4,7,5,8
33010401,,10,10,10,2,10,10,10,10,9,10,9,10,8,9,10,10,10,6,2,5,9,7,3,10
33010402,,9,10,10,1,10,10,10,10,9,10,10,10,9,7,10,9,10,3,2,4,6,4,5,5
33009300,SoDo,9,10,10,1,10,10,10,10,9,10,10,10,10,5,8,5,10,5,1,3,5,5,1,10
33010001,,10,10,10,1,10,10,10,10,9,10,10,10,9,10,10,10,10,9,1,8,10,5,1,10
33010100,,10,6,6,1,5,9,10,9,8,10,8,10,,7,9,7,10,6,1,8,4,10,9,9
33009500,,9,10,10,1,10,10,10,9,10,10,9,10,,6,7,4,9,5,1,8,5,4,2,8
33009400,,10,10,10,1,10,10,10,10,8,10,10,10,10,9,10,9,10,7,1,6,8,4,2,8
33009200,,10,10,10,1,9,10,10,10,10,10,10,10,10,10,9,9,10,10,1,10,8,9,7,10
33009100,,10,10,10,1,10,10,10,10,9,10,10,10,10,10,10,10,10,9,1,10,7,3,1,8
33009000,,9,10,10,1,10,10,10,10,6,10,10,9,9,9,10,8,10,9,1,10,4,3,4,5
33008900,,10,10,10,1,10,10,10,9,9,10,9,9,2,5,8,6,10,5,1,5,1,9,7,9
33008700,,9,10,10,1,9,9,10,10,9,10,10,9,8,7,6,6,10,8,1,9,5,3,3,6
33007900,,9,10,10,1,9,9,10,8,9,10,8,7,,6,5,5,9,5,1,7,7,8,7,7
33007600,,10,10,10,1,9,10,9,9,10,10,8,5,4,3,7,1,7,5,1,6,4,10,9,10
33008500,,10,10,10,1,9,10,10,10,8,10,10,9,10,6,7,9,10,6,1,7,1,9,7,10
33008100,,9,10,10,1,9,10,10,10,8,10,10,9,10,7,5,6,8,8,1,9,6,5,6,5
33008200,,9,10,10,1,9,10,10,10,9,10,10,9,10,5,7,1,8,4,1,8,8,5,1,10
33008300,,9,10,10,1,9,10,10,10,9,10,10,9,10,6,8,7,7,7,1,9,1,3,4,4
33007402,,10,10,10,1,9,10,9,10,8,10,9,8,5,5,3,3,8,8,1,10,3,10,10,10
33007300,,10,10,10,1,9,10,10,10,4,10,10,8,8,5,6,3,8,5,1,6,9,9,10,7
33008002,Belltown,10,10,10,1,9,10,9,10,7,10,10,9,10,6,8,3,7,7,1,8,5,9,8,8
33005200,UDistrict,9,9,10,1,6,10,9,9,8,10,6,6,7,6,9,1,9,9,1,10,2,8,6,9
33005301,,9,9,10,1,6,10,9,9,8,10,6,5,6,9,10,5,9,10,1,10,9,5,1,10
33001701,Greenwood,9,8,10,1,7,8,9,7,8,8,5,6,,6,7,6,8,6,1,6,5,9,7,9
33001300,,9,9,10,1,7,10,9,5,7,7,5,5,,8,9,6,9,7,1,9,6,8,7,7
33001200,,9,9,10,1,8,10,9,5,6,8,5,4,,8,9,5,9,8,1,10,7,5,4,7
33024702,Newcastle,9,9,7,6,4,9,10,6,3,6,10,3,3,3,8,3,8,1,4,3,3,9,8,9
33023601,East Bellevue,9,8,10,4,3,10,8,7,4,8,6,10,,5,10,3,8,3,1,8,2,9,6,10
33021100,Lake City,9,9,9,1,8,10,8,6,9,4,4,3,5,7,8,5,8,7,2,7,6,8,9,5
61051701,Lynnwood,9,7,9,2,5,9,8,5,6,8,3,6,,6,9,8,9,7,1,5,2,9,7,10
61051803,,9,8,9,3,5,9,9,3,2,9,3,5,,10,10,10,9,9,1,10,6,10,10,8
61041901,Mukilteo,9,6,8,3,4,7,9,7,3,10,2,5,7,9,10,8,8,8,3,10,7,8,7,8
61041806,,10,9,9,2,7,9,10,3,2,10,2,5,,9,9,10,9,8,1,10,7,9,9,8
61041904,,10,8,9,2,7,8,9,7,2,10,2,6,7,9,10,9,10,9,1,10,4,9,9,7
61041202,,9,9,9,2,8,10,7,4,5,8,2,6,,10,9,8,8,9,2,10,10,9,7,9
61041100,,9,8,9,2,8,10,6,5,8,7,2,7,,8,8,8,7,7,3,7,8,8,7,7
61040700,Everett,9,9,10,2,9,10,5,7,9,4,2,9,5,9,6,10,6,10,1,9,10,5,7,4
61040800,,10,8,10,2,9,9,5,8,9,5,2,10,4,7,5,8,5,8,1,9,8,10,10,10
61040200,,10,8,10,1,9,9,5,7,7,4,2,9,7,9,9,10,8,9,1,10,5,9,7,10